RSID,PlayerID,PlayerName,Matches,Innings,NotOut,Runs,HighScore,BallsFaced,StrikeRate,100,50,4S,6S,Avg
RSID0001,TP0074,Aaron Finch,5,5,0,86,58,61,140.98,0,1,10,3,17.2
RSID0002,TP0218,Abdul Samad,2,2,0,4,4,7,57.14,0,0,0,0,2
RSID0003,TP0075,Abhijeet Tomar,1,1,0,4,4,8,50,0,0,1,0,4
RSID0004,TP0049,Abhinav Sadarangani,8,7,1,108,43,75,144,0,0,14,3,18
RSID0005,TP0219,Abhishek Sharma,14,14,0,426,75,320,133.12,0,2,47,13,30.43
RSID0006,TP0220,Aiden Markram,14,12,4,381,68,274,139.05,0,3,25,19,47.63
RSID0007,TP0076,Ajinkya Rahane,7,7,0,133,44,128,103.9,0,0,14,4,19
RSID0008,TP0050,Alzarri Joseph,9,3,2,5,4,7,71.42,0,0,0,0,5
RSID0009,TP0078,Aman Khan,1,1,0,5,5,3,166.66,0,0,1,0,5
RSID0010,TP0002,Ambati Rayudu,13,11,0,274,78,224,122.32,0,1,25,15,24.91
RSID0011,TP0079,Andre Russell,14,12,3,335,70,192,174.47,0,1,18,32,37.22
RSID0012,TP0120,Anmolpreet Singh,2,2,0,13,8,13,100,0,0,1,0,6.5
RSID0013,TP0025,Anrich Nortje,6,1,1,1,1,6,16.66,0,0,0,0,0
RSID0014,TP0198,Anuj Rawat,8,8,0,129,66,118,109.32,0,1,10,7,16.13
RSID0015,TP0147,Arshdeep Singh,14,6,3,21,10,29,72.41,0,0,3,0,7
RSID0016,TP0102,Avesh Khan,13,4,3,22,12,13,169.23,0,0,0,3,22
RSID0017,TP0241,Axar Patel,13,10,6,182,42,120,151.66,0,0,12,10,45.5
RSID0018,TP0103,Ayush Badoni,13,11,3,161,54,130,123.84,0,1,11,7,20.13
RSID0019,TP0082,Baba Indrajith,3,3,0,21,15,30,70,0,0,2,0,7
RSID0020,TP0151,Bhanuka Rajapaksa,9,9,0,206,43,129,159.68,0,0,16,13,22.89
RSID0021,TP0221,Bhuvneshwar Kumar,14,6,3,24,8,26,92.3,0,0,3,0,8
RSID0022,TP0004,Chris Jordan,4,2,1,11,6,8,137.5,0,0,0,0,11
RSID0023,TP0124,Daniel Sams,11,10,3,38,15,36,105.55,0,0,1,3,5.43
RSID0024,TP0173,Daryl Mitchell,2,2,0,33,17,44,75,0,0,1,0,16.5
RSID0025,TP0053,David Miller,16,16,9,481,94,337,142.72,0,2,32,23,68.71
RSID0026,TP0028,David Warner,12,12,3,432,92,287,150.52,0,5,52,15,48
RSID0027,TP0200,David Willey,4,2,0,18,18,30,60,0,0,3,0,9
RSID0028,TP0104,Deepak Hooda,15,14,0,451,59,330,136.66,0,4,36,18,32.21
RSID0029,TP0174,Devdutt Padikkal,17,17,0,376,54,306,122.87,0,1,40,14,22.12
RSID0030,TP0006,Devon Conway,7,7,1,252,87,173,145.66,0,3,22,12,42
RSID0031,TP0125,Dewald Brevis,7,7,0,161,49,113,142.47,0,0,14,11,23
RSID0032,TP0201,Dinesh Karthik,16,16,10,330,66,180,183.33,0,1,27,22,55
RSID0033,TP0105,Dushmanta Chameera,12,8,4,43,17,28,153.57,0,0,3,3,10.75
RSID0034,TP0007,Dwaine Pretorius,6,5,1,44,22,28,157.14,0,0,3,3,11
RSID0035,TP0008,Dwayne Bravo,10,6,4,23,12,24,95.83,0,0,1,1,11.5
RSID0036,TP0106,Evin Lewis,6,5,2,73,55,56,130.35,0,1,8,3,24.33
RSID0037,TP0126,Fabian Allen,1,1,0,8,8,7,114.28,0,0,1,0,8
RSID0038,TP0202,Faf Du Plessis,16,16,1,468,96,367,127.52,0,3,49,13,31.2
RSID0039,TP0222,Fazalhaq Farooqi,3,1,1,2,2,8,25,0,0,0,0,0
RSID0040,TP0204,Glenn Maxwell,13,13,2,301,55,178,169.1,0,1,31,15,27.36
RSID0041,TP0056,Hardik Pandya,15,15,4,487,87,371,131.26,0,4,49,12,44.27
RSID0042,TP0152,Harpreet Brar,5,3,0,22,14,25,88,0,0,1,2,7.33
RSID0043,TP0205,Harshal Patel,15,8,3,43,11,39,110.25,0,0,4,2,8.6
RSID0044,TP0085,Nitish Rana,2,2,1,2,2,2,100,0,0,0,0,2
RSID0045,TP0127,Hrithik Shokeen,5,3,1,43,25,48,89.58,0,0,5,0,21.5
RSID0046,TP0128,Ishan Kishan,14,14,1,418,81,348,120.11,0,3,45,11,32.15
RSID0047,TP0003,C Hari Nishaanth,2,2,1,40,39,37,108.1,0,0,3,1,40
RSID0048,TP0225,Jagadeesha Suchith,5,2,0,2,2,8,25,0,0,0,0,1
RSID0049,TP0176,James Neesham,2,2,0,31,17,27,114.81,0,0,3,0,15.5
RSID0050,TP0107,Jason Holder,12,8,2,58,16,44,131.81,0,0,2,6,9.67
RSID0051,TP0130,Jaydev Unadkat,5,5,2,59,19,37,159.45,0,0,4,3,19.67
RSID0052,TP0154,Jitesh Sharma,12,10,2,234,44,143,163.63,0,0,22,12,29.25
RSID0053,TP0155,Jonny Bairstow,11,11,0,253,66,175,144.57,0,2,34,9,23
RSID0054,TP0177,Jos Buttler,17,17,2,863,116,579,149.05,4,4,83,45,57.53
RSID0055,TP0207,Josh Hazlewood,12,5,5,18,7,26,69.23,0,0,1,0,0
RSID0056,TP0109,KL Rahul,15,15,3,616,103,455,135.38,2,4,45,30,51.33
RSID0057,TP0156,Kagiso Rabada,13,8,3,48,25,43,111.62,0,0,5,2,9.6
RSID0058,TP0059,Kane Williamson,13,13,2,216,57,231,93.5,0,1,16,8,19.64
RSID0059,TP0110,Karan Sharma,1,1,0,4,4,4,100,0,0,1,0,4
RSID0060,TP0226,Kartik Tyagi,2,2,0,7,7,6,116.66,0,0,1,0,3.5
RSID0061,TP0179,Karun Nair,3,2,0,16,13,18,88.88,0,0,1,0,8
RSID0062,TP0132,Kieron Pollard,11,11,1,144,25,134,107.46,0,0,6,9,14.4
RSID0063,TP0111,Krunal Pandya,14,13,4,183,42,145,126.2,0,0,16,4,20.33
RSID0064,TP0032,Kuldeep Yadav,14,7,6,48,16,52,92.3,0,0,3,2,48
RSID0065,TP0137,Rahul Buddhi,4,1,0,3,3,5,60,0,0,0,0,3
RSID0066,TP0033,Lalit Yadav,12,8,1,161,48,146,110.27,0,0,11,7,23
RSID0067,TP0157,Liam Livingstone,14,14,2,437,70,240,182.08,0,4,29,34,36.42
RSID0068,TP0060,Lockie Ferguson,13,3,1,5,5,4,125,0,0,1,0,2.5
RSID0069,TP0011,Maheesh Theekshana,9,2,1,7,7,7,100,0,0,0,1,7
RSID0070,TP0210,Mahipal Lomror,7,5,0,86,42,57,150.87,0,0,7,4,17.2
RSID0071,TP0113,Manan Vohra,2,1,0,19,19,11,172.72,0,0,1,2,19
RSID0072,TP0035,Mandeep Singh,3,3,0,18,18,23,78.26,0,0,4,0,6
RSID0073,TP0114,Manish Pandey,6,6,0,88,38,80,110,0,0,9,2,14.67
RSID0074,TP0227,Marco Jansen,8,3,2,9,8,7,128.57,0,0,0,1,9
RSID0075,TP0243,Marcus Stoinis,11,10,2,156,38,106,147.16,0,0,7,13,19.5
RSID0076,TP0061,Matthew Wade,10,10,0,157,35,138,113.76,0,0,23,2,15.7
RSID0077,TP0158,Mayank Agarwal,13,12,0,196,52,160,122.5,0,1,23,6,16.33
RSID0078,TP0036,Mitchell Marsh,8,8,0,251,89,189,132.8,0,2,19,14,31.38
RSID0079,TP0012,Mitchell Santner,6,4,2,22,11,27,81.48,0,0,3,0,11
RSID0080,TP0242,Moeen Ali,10,10,0,244,93,177,137.85,0,1,24,11,24.4
RSID0081,TP0211,Mohammed Siraj,15,5,3,30,14,33,90.9,0,0,5,0,15
RSID0082,TP0117,Mohsin Khan,9,3,2,23,13,16,143.75,0,0,2,1,23
RSID0083,TP0013,MS Dhoni,14,13,6,232,50,188,123.4,0,1,21,10,33.14
RSID0084,TP0014,Mukesh Choudhary,13,2,1,6,4,6,100,0,0,1,0,6
RSID0085,TP0135,Murugan Ashwin,8,5,2,12,6,14,85.71,0,0,1,1,4
RSID0086,TP0037,Mustafizur Rahman,8,1,1,3,3,5,60,0,0,0,0,0
RSID0087,TP0182,Nathan Coulter-Nile,1,1,1,1,1,2,50,0,0,0,0,0
RSID0088,TP0183,Navdeep Saini,2,1,0,2,2,2,100,0,0,0,0,2
RSID0089,TP0228,Nicholas Pooran,14,13,5,306,64,212,144.33,0,2,16,21,38.25
RSID0090,TP0085,Nitish Rana,14,14,1,361,57,251,143.82,0,2,29,22,27.77
RSID0091,TP0184,Obed McCoy,7,1,0,8,8,5,160,0,0,0,1,8
RSID0092,TP0160,Odean Smith,6,6,3,51,25,44,115.9,0,0,1,5,17
RSID0093,TP0086,Pat Cummins,5,5,1,63,56,24,262.5,0,1,5,6,15.75
RSID0094,TP0064,Pradeep Sangwan,3,1,0,2,2,5,40,0,0,0,0,2
RSID0095,TP0185,Prasidh Krishna,17,3,2,6,4,12,50,0,0,0,0,6
RSID0096,TP0162,Prerak Mankad,1,1,1,4,4,1,400,0,0,1,0,0
RSID0097,TP0039,Prithvi Shaw,10,10,0,283,61,185,152.97,0,2,37,10,28.3
RSID0098,TP0229,Priyam Garg,2,2,0,46,42,33,139.39,0,0,4,2,23
RSID0099,TP0118,Quinton De Kock,15,15,1,508,140,341,148.97,1,3,47,23,36.29
RSID0100,TP0163,Rahul Chahar,13,8,2,77,25,68,113.23,0,0,7,4,12.83
RSID0101,TP0066,Rahul Tewatia,16,12,5,217,43,147,147.61,0,0,22,9,31
RSID0102,TP0231,Rahul Tripathi,14,14,3,413,76,261,158.23,0,3,40,20,37.55
RSID0103,TP0164,Raj Angad Bawa,2,2,0,11,11,14,78.57,0,0,1,0,5.5
RSID0104,TP0203,Finn Allen,8,7,1,333,112,218,152.75,1,2,27,18,55.5
RSID0105,TP0138,Ramandeep Singh,5,4,2,45,14,40,112.5,0,0,3,1,22.5
RSID0106,TP0067,Rashid Khan,16,8,4,91,40,44,206.81,0,0,3,9,22.75
RSID0107,TP0121,Arjun Tendulkar,2,1,0,7,7,6,116.66,0,0,1,0,7
RSID0108,TP0187,Rassie van der Dussen,3,3,1,22,12,24,91.66,0,0,2,0,11
RSID0109,TP0186,R Ashwin,17,12,5,191,50,135,141.48,0,1,14,9,27.29
RSID0110,TP0018,Ravindra Jadeja,10,10,4,116,26,98,118.36,0,0,6,5,19.33
RSID0111,TP0090,Rinku Singh,7,7,2,174,42,117,148.71,0,0,17,7,34.8
RSID0112,TP0040,Ripal Patel,2,1,0,6,6,3,200,0,0,0,1,6
RSID0113,TP0041,Rishabh Pant,14,13,2,340,44,224,151.78,0,0,35,16,30.91
RSID0114,TP0165,Rishi Dhawan,6,4,2,37,21,40,92.5,0,0,4,2,18.5
RSID0115,TP0188,Riyan Parag,17,14,3,183,56,132,138.63,0,1,11,10,16.64
RSID0116,TP0019,Robin Uthappa,12,11,0,230,88,171,134.5,0,2,19,14,20.91
RSID0117,TP0140,Rohit Sharma,14,14,0,268,48,223,120.17,0,0,28,13,19.14
RSID0118,TP0232,Romario Shepherd,3,3,1,58,26,41,141.46,0,0,2,5,29
RSID0119,TP0042,Rovman Powell,14,12,2,250,67,167,149.7,0,1,10,22,25
RSID0120,TP0020,Ruturaj Gaikwad,14,14,0,368,99,291,126.46,0,3,33,14,26.29
RSID0121,TP0068,Sai Sudarshan,5,5,1,145,65,114,127.19,0,1,14,3,36.25
RSID0122,TP0091,Sam Billings,8,8,1,169,36,138,122.46,0,0,9,10,24.14
RSID0123,TP0189,Sanju Samson,17,17,1,458,55,312,146.79,0,2,43,26,28.63
RSID0124,TP0043,Sarfaraz Khan,6,5,2,91,36,67,135.82,0,0,9,2,30.33
RSID0125,TP0234,Sean Abbott,1,1,0,7,7,5,140,0,0,0,1,7
RSID0126,TP0212,Shahbaz Ahamad,16,11,3,219,45,181,120.99,0,0,14,9,27.38
RSID0127,TP0167,Shahrukh Khan,8,8,1,117,26,108,108.33,0,0,4,9,16.71
RSID0128,TP0044,Shardul Thakur,14,10,2,120,29,87,137.93,0,0,7,7,15
RSID0129,TP0235,Shashank Singh,10,5,1,69,25,47,146.8,0,0,5,4,17.25
RSID0130,TP0092,Sheldon Jackson,5,5,1,23,8,26,88.46,0,0,0,1,5.75
RSID0131,TP0213,Sherfane Rutherford,3,2,0,33,28,50,66,0,0,1,1,16.5
RSID0132,TP0168,Shikhar Dhawan,14,14,2,460,88,375,122.66,0,3,47,12,38.33
RSID0133,TP0190,Shimron Hetmyer,15,15,8,314,59,204,153.92,0,1,21,21,44.86
RSID0134,TP0021,Shivam Dube,11,11,1,289,95,185,156.21,0,2,22,16,28.9
RSID0135,TP0093,Shivam Mavi,6,3,1,3,2,7,42.85,0,0,0,0,1.5
RSID0136,TP0236,Shreyas Gopal,1,1,1,9,9,7,128.57,0,0,2,0,0
RSID0137,TP0094,Shreyas Iyer,14,14,1,401,85,298,134.56,0,3,41,11,30.85
RSID0138,TP0069,Shubman Gill,16,16,2,483,96,365,132.32,0,4,51,11,34.5
RSID0139,TP0022,Simarjeet Singh,6,3,2,7,3,8,87.5,0,0,0,0,7
RSID0140,TP0170,Writtick Chatterjee,1,1,0,14,14,11,127.27,0,0,2,0,14
RSID0141,TP0047,Vicky Ostwal,2,2,0,8,8,7,114.28,0,0,2,0,4
RSID0142,TP0095,Sunil Narine,14,10,2,71,22,40,177.5,0,0,6,6,8.88
RSID0143,TP0142,Suryakumar Yadav,8,8,1,303,68,208,145.67,0,3,23,16,43.29
RSID0144,TP0215,Suyash Prabhudessai,5,5,0,67,34,59,113.55,0,0,7,2,13.4
RSID0145,TP0143,Tilak Varma,14,14,3,397,61,303,131.02,0,2,29,16,36.09
RSID0146,TP0144,Tim David,8,8,3,186,46,86,216.27,0,0,12,16,37.2
RSID0147,TP0046,Tim Seifert,2,2,0,24,21,19,126.31,0,0,4,0,12
RSID0148,TP0096,Tim Southee,9,5,1,2,1,12,16.66,0,0,0,0,0.5
RSID0149,TP0193,Trent Boult,16,8,6,40,17,29,137.93,0,0,2,1,20
RSID0150,TP0145,Tymal Mills,2,2,0,2,2,4,50,0,0,0,0,1
RSID0151,TP0097,Umesh Yadav,12,7,3,55,21,40,137.5,0,0,4,4,13.75
RSID0152,TP0238,Umran Malik,14,4,3,4,3,8,50,0,0,0,0,4
RSID0153,TP0169,Vaibhav Arora,5,4,2,5,2,13,38.46,0,0,0,0,2.5
RSID0154,TP0098,Varun Chakravarty,11,4,4,12,10,18,66.66,0,0,2,0,0
RSID0155,TP0099,Venkatesh Iyer,12,12,1,182,50,169,107.69,0,1,17,7,16.55
RSID0156,TP0071,Vijay Shankar,4,4,0,19,13,35,54.28,0,0,1,0,4.75
RSID0157,TP0216,Virat Kohli,16,16,1,341,73,294,115.98,0,2,32,8,22.73
RSID0158,TP0217,Wanindu Hasaranga,16,7,0,38,18,43,88.37,0,0,4,1,5.43
RSID0159,TP0240,Washington Sundar,9,7,0,101,40,69,146.37,0,0,9,3,14.43
RSID0160,TP0072,Wriddhiman Saha,11,11,1,317,68,259,122.39,0,3,40,7,31.7
RSID0161,TP0194,Yashasvi Jaiswal,10,10,0,258,68,194,132.98,0,2,28,10,25.8
RSID0162,TP0195,Yuzvendra Chahal,17,2,1,5,5,8,62.5,0,0,0,0,5
