SSID,MatchID,PlayerID,PlayerName,Runs,BallFaced,StrikeRate,6s,Against,Venue,MatchDate
SSID0001,M030,TP0074,Aaron Finch,58,28,207.14,2,RR,Brabourne,18-Apr-22
SSID0002,M025,TP0074,Aaron Finch,7,5,140,1,SRH,Brabourne,15-Apr-22
SSID0003,M024,TP0049,Abhinav Sadarangani,43,28,153.57,2,RR,DY Patil Stadium,14-Apr-22
SSID0004,M021,TP0049,Abhinav Sadarangani,35,21,166.66,1,SRH,DY Patil Stadium,11-Apr-22
SSID0005,M040,TP0219,Abhishek Sharma,65,42,154.76,3,GT,Wankhede Stadium,27-Apr-22
SSID0006,M017,TP0219,Abhishek Sharma,75,50,150,3,CSK,DY Patil Stadium,9-Apr-22
SSID0007,M061,TP0219,Abhishek Sharma,43,28,153.57,2,KKR,Maharashtra Cricket Association Stadium,14-May-22
SSID0008,M070,TP0219,Abhishek Sharma,43,32,134.37,2,PK,Wankhede Stadium,22-May-22
SSID0009,M028,TP0219,Abhishek Sharma,31,25,124,1,PK,DY Patil Stadium,17-Apr-22
SSID0010,M045,TP0219,Abhishek Sharma,39,24,162.5,1,CSK,Maharashtra Cricket Association Stadium,1-May-22
SSID0011,M035,TP0219,Abhishek Sharma,47,28,167.85,1,RCB,Brabourne,23-Apr-22
SSID0012,M025,TP0220,Aiden Markram,68,36,188.88,4,KKR,Brabourne,15-Apr-22
SSID0013,M050,TP0220,Aiden Markram,42,25,168,3,DC,Brabourne,5-May-22
SSID0014,M061,TP0220,Aiden Markram,32,25,128,3,KKR,Maharashtra Cricket Association Stadium,14-May-22
SSID0015,M040,TP0220,Aiden Markram,56,40,140,3,GT,Wankhede Stadium,27-Apr-22
SSID0016,M045,TP0220,Aiden Markram,17,10,170,2,CSK,Maharashtra Cricket Association Stadium,1-May-22
SSID0017,M005,TP0220,Aiden Markram,57,41,139.02,2,RR,Maharashtra Cricket Association Stadium,29-Mar-22
SSID0018,M054,TP0220,Aiden Markram,21,27,77.77,1,RCB,Wankhede Stadium,8-May-22
SSID0019,M028,TP0220,Aiden Markram,41,27,151.85,1,PK,DY Patil Stadium,17-Apr-22
SSID0020,M061,TP0076,Ajinkya Rahane,28,24,116.66,3,SRH,Maharashtra Cricket Association Stadium,14-May-22
SSID0021,M001,TP0076,Ajinkya Rahane,44,34,129.41,1,CSK,Wankhede Stadium,26-Mar-22
SSID0022,M038,TP0002,Ambati Rayudu,78,39,200,6,PK,Wankhede Stadium,25-Apr-22
SSID0023,M033,TP0002,Ambati Rayudu,40,35,114.28,3,MI,DY Patil Stadium,21-Apr-22
SSID0024,M028,TP0002,Ambati Rayudu,46,31,148.38,2,GT,Maharashtra Cricket Association Stadium,17-Apr-22
SSID0025,M007,TP0002,Ambati Rayudu,27,20,135,2,LSG,Brabourne,31-Mar-22
SSID0026,M049,TP0002,Ambati Rayudu,10,8,125,1,RCB,Maharashtra Cricket Association Stadium,4-May-22
SSID0027,M001,TP0002,Ambati Rayudu,15,17,88.23,1,KKR,Wankhede Stadium,26-Mar-22
SSID0028,M008,TP0079,Andre Russell,70,31,225.8,8,PK,Wankhede Stadium,1-Apr-22
SSID0029,M035,TP0079,Andre Russell,48,25,192,6,GT,DY Patil Stadium,23-Apr-22
SSID0030,M052,TP0079,Andre Russell,45,19,236.84,5,LSG,Maharashtra Cricket Association Stadium,7-May-22
SSID0031,M025,TP0079,Andre Russell,49,25,196,4,SRH,Brabourne,15-Apr-22
SSID0032,M061,TP0079,Andre Russell,49,28,175,4,SRH,Maharashtra Cricket Association Stadium,14-May-22
SSID0033,M006,TP0079,Andre Russell,25,18,138.88,3,RCB,DY Patil Stadium,30-Mar-22
SSID0034,M056,TP0079,Andre Russell,9,5,180,1,MI,DY Patil Stadium,9-May-22
SSID0035,M014,TP0079,Andre Russell,11,5,220,1,MI,Maharashtra Cricket Association Stadium,6-Apr-22
SSID0036,M017,TP0198,Anuj Rawat,66,47,140.42,6,MI,Maharashtra Cricket Association Stadium,9-Apr-22
SSID0037,M002,TP0198,Anuj Rawat,21,20,105,1,PK,DY Patil Stadium,27-Mar-22
SSID0038,M057,TP0102,Avesh Khan,12,4,300,2,GT,Maharashtra Cricket Association Stadium,10-May-22
SSID0039,M019,TP0102,Avesh Khan,7,2,350,1,RR,Wankhede Stadium,10-Apr-22
SSID0040,M002,TP0241,Axar Patel,38,17,223.52,3,MI,Brabourne,27-Mar-22
SSID0041,M045,TP0241,Axar Patel,42,24,175,3,LSG,Wankhede Stadium,1-May-22
SSID0042,M069,TP0241,Axar Patel,19,10,190,2,MI,Wankhede Stadium,21-May-22
SSID0043,M019,TP0241,Axar Patel,22,14,157.14,1,KKR,Brabourne,10-Apr-22
SSID0044,M041,TP0241,Axar Patel,24,17,141.17,1,KKR,Wankhede Stadium,28-Apr-22
SSID0045,M004,TP0103,Ayush Badoni,54,41,131.7,3,GT,Wankhede Stadium,28-Mar-22
SSID0046,M007,TP0103,Ayush Badoni,19,9,211.11,2,CSK,Brabourne,31-Mar-22
SSID0047,M037,TP0103,Ayush Badoni,14,11,127.27,1,MI,Wankhede Stadium,24-Apr-22
SSID0048,M015,TP0103,Ayush Badoni,10,3,333.33,1,DC,DY Patil Stadium,7-Apr-22
SSID0049,M002,TP0151,Bhanuka Rajapaksa,43,22,195.45,4,RCB,DY Patil Stadium,27-Mar-22
SSID0050,M008,TP0151,Bhanuka Rajapaksa,31,9,344.44,3,KKR,Wankhede Stadium,1-Apr-22
SSID0051,M052,TP0151,Bhanuka Rajapaksa,27,18,150,2,RR,Wankhede Stadium,7-May-22
SSID0052,M038,TP0151,Bhanuka Rajapaksa,42,32,131.25,2,CSK,Wankhede Stadium,25-Apr-22
SSID0053,M011,TP0151,Bhanuka Rajapaksa,9,5,180,1,CSK,Brabourne,3-Apr-22
SSID0054,M048,TP0151,Bhanuka Rajapaksa,40,28,142.85,1,GT,DY Patil Stadium,3-May-22
SSID0055,M002,TP0124,Daniel Sams,7,2,350,1,DC,Brabourne,27-Mar-22
SSID0056,M043,TP0124,Daniel Sams,6,1,600,1,RR,DY Patil Stadium,30-Apr-22
SSID0057,M065,TP0124,Daniel Sams,15,11,136.36,1,SRH,Wankhede Stadium,17-May-22
SSID0058,M028,TP0053,David Miller,94,51,184.31,6,CSK,Maharashtra Cricket Association Stadium,17-Apr-22
SSID0059,M071,TP0053,David Miller,68,38,178.94,5,RR,Eden Gardens,24-May-22
SSID0060,M067,TP0053,David Miller,34,25,136,3,RCB,Wankhede Stadium,19-May-22
SSID0061,M004,TP0053,David Miller,30,21,142.85,2,LSG,Wankhede Stadium,28-Mar-22
SSID0062,M035,TP0053,David Miller,27,20,135,2,KKR,DY Patil Stadium,23-Apr-22
SSID0063,M051,TP0053,David Miller,19,14,135.71,1,MI,Brabourne,6-May-22
SSID0064,M024,TP0053,David Miller,31,14,221.42,1,RR,DY Patil Stadium,14-Apr-22
SSID0065,M074,TP0053,David Miller,32,19,168.42,1,RR,Narendra Modi Stadium,29-May-22
SSID0066,M057,TP0053,David Miller,26,24,108.33,1,LSG,Maharashtra Cricket Association Stadium,10-May-22
SSID0067,M043,TP0053,David Miller,39,24,162.5,1,RCB,Brabourne,30-Apr-22
SSID0068,M026,TP0028,David Warner,66,38,173.68,5,RCB,Wankhede Stadium,16-Apr-22
SSID0069,M050,TP0028,David Warner,92,58,158.62,3,SRH,Brabourne,5-May-22
SSID0070,M019,TP0028,David Warner,61,45,135.55,2,KKR,Brabourne,10-Apr-22
SSID0071,M054,TP0028,David Warner,19,12,158.33,2,CSK,DY Patil Stadium,8-May-22
SSID0072,M034,TP0028,David Warner,28,14,200,1,RR,Wankhede Stadium,22-Apr-22
SSID0073,M058,TP0028,David Warner,52,41,126.82,1,RR,DY Patil Stadium,11-May-22
SSID0074,M032,TP0028,David Warner,60,30,200,1,PK,Brabourne,20-Apr-22
SSID0075,M072,TP0104,Deepak Hooda,45,26,173.07,4,RCB,Eden Gardens,25-May-22
SSID0076,M012,TP0104,Deepak Hooda,51,33,154.54,3,SRH,DY Patil Stadium,4-Apr-22
SSID0077,M062,TP0104,Deepak Hooda,59,39,151.28,2,RR,Brabourne,15-May-22
SSID0078,M004,TP0104,Deepak Hooda,55,41,134.14,2,GT,Wankhede Stadium,28-Mar-22
SSID0079,M042,TP0104,Deepak Hooda,34,28,121.42,2,PK,Maharashtra Cricket Association Stadium,29-Apr-22
SSID0080,M052,TP0104,Deepak Hooda,41,27,151.85,2,KKR,Maharashtra Cricket Association Stadium,7-May-22
SSID0081,M007,TP0104,Deepak Hooda,13,8,162.5,1,CSK,Brabourne,31-Mar-22
SSID0082,M026,TP0104,Deepak Hooda,15,8,187.5,1,MI,Brabourne,16-Apr-22
SSID0083,M045,TP0104,Deepak Hooda,52,34,152.94,1,DC,Wankhede Stadium,1-May-22
SSID0084,M013,TP0174,Devdutt Padikkal,37,29,127.58,2,RCB,Wankhede Stadium,5-Apr-22
SSID0085,M034,TP0174,Devdutt Padikkal,54,35,154.28,2,DC,Wankhede Stadium,22-Apr-22
SSID0086,M062,TP0174,Devdutt Padikkal,39,18,216.66,2,LSG,Brabourne,15-May-22
SSID0087,M005,TP0174,Devdutt Padikkal,41,29,141.37,2,SRH,Maharashtra Cricket Association Stadium,29-Mar-22
SSID0088,M071,TP0174,Devdutt Padikkal,28,20,140,2,GT,Eden Gardens,24-May-22
SSID0089,M058,TP0174,Devdutt Padikkal,48,30,160,2,DC,DY Patil Stadium,11-May-22
SSID0090,M030,TP0174,Devdutt Padikkal,24,18,133.33,1,KKR,Brabourne,18-Apr-22
SSID0091,M039,TP0174,Devdutt Padikkal,7,7,100,1,RCB,Maharashtra Cricket Association Stadium,26-Apr-22
SSID0092,M054,TP0006,Devon Conway,87,49,177.55,5,DC,DY Patil Stadium,8-May-22
SSID0093,M045,TP0006,Devon Conway,85,55,154.54,4,SRH,Maharashtra Cricket Association Stadium,1-May-22
SSID0094,M049,TP0006,Devon Conway,56,37,151.35,2,RCB,Maharashtra Cricket Association Stadium,4-May-22
SSID0095,M068,TP0006,Devon Conway,16,14,114.28,1,RR,Brabourne,20-May-22
SSID0096,M023,TP0125,Dewald Brevis,49,25,196,5,PK,Maharashtra Cricket Association Stadium,13-Apr-22
SSID0097,M069,TP0125,Dewald Brevis,37,33,112.12,3,DC,Wankhede Stadium,21-May-22
SSID0098,M014,TP0125,Dewald Brevis,29,19,152.63,2,KKR,Maharashtra Cricket Association Stadium,6-Apr-22
SSID0099,M026,TP0125,Dewald Brevis,31,13,238.46,1,LSG,Brabourne,16-Apr-22
SSID0100,M026,TP0201,Dinesh Karthik,66,34,194.11,5,DC,Wankhede Stadium,16-Apr-22
SSID0101,M054,TP0201,Dinesh Karthik,30,8,375,4,SRH,Wankhede Stadium,8-May-22
SSID0102,M002,TP0201,Dinesh Karthik,32,14,228.57,3,PK,DY Patil Stadium,27-Mar-22
SSID0103,M022,TP0201,Dinesh Karthik,34,14,242.85,3,CSK,DY Patil Stadium,12-Apr-22
SSID0104,M049,TP0201,Dinesh Karthik,26,17,152.94,2,CSK,Maharashtra Cricket Association Stadium,4-May-22
SSID0105,M031,TP0201,Dinesh Karthik,13,8,162.5,1,LSG,DY Patil Stadium,19-Apr-22
SSID0106,M017,TP0201,Dinesh Karthik,7,2,350,1,MI,Maharashtra Cricket Association Stadium,9-Apr-22
SSID0107,M013,TP0201,Dinesh Karthik,44,23,191.3,1,RR,Wankhede Stadium,5-Apr-22
SSID0108,M006,TP0201,Dinesh Karthik,14,7,200,1,KKR,DY Patil Stadium,30-Mar-22
SSID0109,M072,TP0201,Dinesh Karthik,37,23,160.86,1,LSG,Eden Gardens,25-May-22
SSID0110,M042,TP0105,Dushmanta Chameera,17,10,170,2,PK,Maharashtra Cricket Association Stadium,29-Apr-22
SSID0111,M072,TP0105,Dushmanta Chameera,11,4,275,1,RCB,Eden Gardens,25-May-22
SSID0112,M011,TP0007,Dwaine Pretorius,8,4,200,1,PK,Brabourne,3-Apr-22
SSID0113,M033,TP0007,Dwaine Pretorius,22,14,157.14,1,MI,DY Patil Stadium,21-Apr-22
SSID0114,M049,TP0007,Dwaine Pretorius,13,8,162.5,1,RCB,Maharashtra Cricket Association Stadium,4-May-22
SSID0115,M059,TP0008,Dwayne Bravo,12,15,80,1,MI,Wankhede Stadium,12-May-22
SSID0116,M007,TP0106,Evin Lewis,55,23,239.13,3,CSK,Brabourne,31-Mar-22
SSID0117,M002,TP0202,Faf Du Plessis,88,57,154.38,7,PK,DY Patil Stadium,27-Mar-22
SSID0118,M031,TP0202,Faf Du Plessis,96,64,150,2,LSG,DY Patil Stadium,19-Apr-22
SSID0119,M054,TP0202,Faf Du Plessis,73,50,146,2,SRH,Wankhede Stadium,8-May-22
SSID0120,M049,TP0202,Faf Du Plessis,38,22,172.72,1,CSK,Maharashtra Cricket Association Stadium,4-May-22
SSID0121,M039,TP0202,Faf Du Plessis,23,21,109.52,1,RR,Maharashtra Cricket Association Stadium,26-Apr-22
SSID0122,M054,TP0204,Glenn Maxwell,33,24,137.5,2,SRH,Wankhede Stadium,8-May-22
SSID0123,M043,TP0204,Glenn Maxwell,33,18,183.33,2,GT,Brabourne,30-Apr-22
SSID0124,M067,TP0204,Glenn Maxwell,40,18,222.22,2,GT,Wankhede Stadium,19-May-22
SSID0125,M026,TP0204,Glenn Maxwell,55,34,161.76,2,DC,Wankhede Stadium,16-Apr-22
SSID0126,M022,TP0204,Glenn Maxwell,26,11,236.36,2,CSK,DY Patil Stadium,12-Apr-22
SSID0127,M073,TP0204,Glenn Maxwell,24,13,184.61,2,RR,Narendra Modi Stadium,27-May-22
SSID0128,M060,TP0204,Glenn Maxwell,35,22,159.09,1,PK,Brabourne,13-May-22
SSID0129,M072,TP0204,Glenn Maxwell,9,10,90,1,LSG,Eden Gardens,25-May-22
SSID0130,M031,TP0204,Glenn Maxwell,23,11,209.09,1,LSG,DY Patil Stadium,19-Apr-22
SSID0131,M024,TP0056,Hardik Pandya,87,52,167.3,4,RR,DY Patil Stadium,14-Apr-22
SSID0132,M067,TP0056,Hardik Pandya,62,47,131.91,3,RCB,Wankhede Stadium,19-May-22
SSID0133,M035,TP0056,Hardik Pandya,67,49,136.73,2,KKR,DY Patil Stadium,23-Apr-22
SSID0134,M004,TP0056,Hardik Pandya,33,28,117.85,1,LSG,Wankhede Stadium,28-Mar-22
SSID0135,M021,TP0056,Hardik Pandya,50,42,119.04,1,SRH,DY Patil Stadium,11-Apr-22
SSID0136,M074,TP0056,Hardik Pandya,34,30,113.33,1,RR,Narendra Modi Stadium,29-May-22
SSID0137,M008,TP0152,Harpreet Brar,14,18,77.77,1,KKR,Wankhede Stadium,1-Apr-22
SSID0138,M060,TP0152,Harpreet Brar,7,5,140,1,RCB,Brabourne,13-May-22
SSID0139,M039,TP0205,Harshal Patel,8,11,72.72,1,RR,Maharashtra Cricket Association Stadium,26-Apr-22
SSID0140,M013,TP0205,Harshal Patel,9,4,225,1,RR,Wankhede Stadium,5-Apr-22
SSID0141,M069,TP0128,Ishan Kishan,48,35,137.14,4,DC,Wankhede Stadium,21-May-22
SSID0142,M002,TP0128,Ishan Kishan,81,48,168.75,2,DC,Brabourne,27-Mar-22
SSID0143,M056,TP0128,Ishan Kishan,51,43,118.6,1,KKR,DY Patil Stadium,9-May-22
SSID0144,M051,TP0128,Ishan Kishan,45,29,155.17,1,GT,Brabourne,6-May-22
SSID0145,M009,TP0128,Ishan Kishan,54,43,125.58,1,RR,DY Patil Stadium,2-Apr-22
SSID0146,M065,TP0128,Ishan Kishan,43,34,126.47,1,SRH,Wankhede Stadium,17-May-22
SSID0147,M043,TP0128,Ishan Kishan,26,18,144.44,1,RR,DY Patil Stadium,30-Apr-22
SSID0148,M062,TP0003,C Hari Nishaanth,39,33,118.18,1,GT,Wankhede Stadium,15-May-22
SSID0149,M031,TP0107,Jason Holder,16,9,177.77,2,RCB,DY Patil Stadium,19-Apr-22
SSID0150,M052,TP0107,Jason Holder,13,4,325,2,KKR,Maharashtra Cricket Association Stadium,7-May-22
SSID0151,M042,TP0107,Jason Holder,11,8,137.5,1,PK,Maharashtra Cricket Association Stadium,29-Apr-22
SSID0152,M012,TP0107,Jason Holder,8,3,266.66,1,SRH,DY Patil Stadium,4-Apr-22
SSID0153,M026,TP0130,Jaydev Unadkat,14,6,233.33,1,LSG,Brabourne,16-Apr-22
SSID0154,M033,TP0130,Jaydev Unadkat,19,9,211.11,1,CSK,DY Patil Stadium,21-Apr-22
SSID0155,M023,TP0130,Jaydev Unadkat,12,7,171.42,1,PK,Maharashtra Cricket Association Stadium,13-Apr-22
SSID0156,M011,TP0154,Jitesh Sharma,26,17,152.94,3,CSK,Brabourne,3-Apr-22
SSID0157,M064,TP0154,Jitesh Sharma,44,34,129.41,2,DC,DY Patil Stadium,16-May-22
SSID0158,M023,TP0154,Jitesh Sharma,30,15,200,2,MI,Maharashtra Cricket Association Stadium,13-Apr-22
SSID0159,M016,TP0154,Jitesh Sharma,23,11,209.09,2,GT,Brabourne,8-Apr-22
SSID0160,M052,TP0154,Jitesh Sharma,38,18,211.11,2,RR,Wankhede Stadium,7-May-22
SSID0161,M070,TP0154,Jitesh Sharma,19,7,271.42,1,SRH,Wankhede Stadium,22-May-22
SSID0162,M060,TP0155,Jonny Bairstow,66,29,227.58,7,RCB,Brabourne,13-May-22
SSID0163,M064,TP0155,Jonny Bairstow,28,15,186.66,1,DC,DY Patil Stadium,16-May-22
SSID0164,M052,TP0155,Jonny Bairstow,56,40,140,1,RR,Wankhede Stadium,7-May-22
SSID0165,M034,TP0177,Jos Buttler,116,65,178.46,9,DC,Wankhede Stadium,22-Apr-22
SSID0166,M013,TP0177,Jos Buttler,70,47,148.93,6,RCB,Wankhede Stadium,5-Apr-22
SSID0167,M073,TP0177,Jos Buttler,106,60,176.66,6,RCB,Narendra Modi Stadium,27-May-22
SSID0168,M030,TP0177,Jos Buttler,103,61,168.85,5,KKR,Brabourne,18-Apr-22
